longitude,latitude,forest_loss_prediction
86.5608,26.9083,0
83.0217,27.6208,0
81.7771,28.253,1
82.3381,27.8114,0
81.8827,28.4123,0
80.9555,28.9771,1
83.1475,28.1447,0
80.8231,29.0315,1
80.5229,29.1456,0
81.5968,28.3232,1
81.3609,28.3796,0
80.1771,28.8106,0
81.7712,28.6871,1
81.3656,28.586,0
80.6798,28.909,1
81.9864,28.2918,1
82.1939,28.3067,1
81.3987,28.5183,0
80.7163,29.0361,1
81.6685,28.5238,1
80.4052,29.0079,0
82.0632,28.4821,1
80.6236,29.1211,1
80.1567,28.9264,1
81.3654,28.4725,0
80.6612,29.0189,0
80.7378,28.9196,1
81.2233,28.814,0
82.25,28.3594,0
81.1232,28.8661,1
81.4245,28.5719,0
82.2206,28.5383,0
81.9931,28.2176,0
81.4404,28.3927,0
85.1713,27.1581,0
80.6829,28.8578,0
80.8231,29.0315,0
81.8997,27.9611,0
82.2206,28.5383,0
81.4157,28.5734,0
82.1117,28.0243,0
80.2231,29.0351,0
82.0986,28.0633,0
80.1782,29.0571,0
82.7303,27.6838,1
80.8711,29.0039,0
80.2402,28.8416,1
82.0078,28.1588,1
81.2968,29.0462,1
83.9958,27.5236,0
81.5168,28.6066,0
80.1938,28.8966,0
82.1052,28.0666,1
85.7363,27.071,0
81.8318,28.1345,1
81.9763,28.2934,0
81.1232,28.8661,0
81.813,28.1132,1
81.1232,28.8661,0
81.6767,28.3267,1
83.0533,28.033,0
81.8794,28.2954,0
81.9588,28.0991,0
81.1714,28.9783,0
80.9555,28.9771,0
83.9017,27.6266,0
82.0698,28.4371,0
81.6274,28.4067,0
83.0963,28.1711,1
82.1197,28.3181,0
87.5131,26.7267,1
82.5823,27.7601,0
82.0596,28.184,0
82.6394,27.9252,0
81.4453,28.7524,1
84.0369,27.5286,1
84.8447,27.2792,1
80.4544,28.9738,0
81.9695,28.2265,0
81.8241,28.2247,1
81.3893,28.4133,0
81.4421,28.4142,1
82.2668,28.3269,0
80.3865,29.0235,0
80.4558,28.8046,0
82.0896,28.0723,0
80.5955,28.9507,0
81.5991,28.4476,0
80.4874,29.0114,0
81.5354,28.6085,1
81.8665,28.1632,0
81.4449,28.8864,0
82.2206,28.5383,1
81.4438,28.752,1
81.5778,28.4665,0
81.4719,28.3998,1
83.5307,27.7229,0
82.0592,28.4382,0
82.8585,27.9369,0
85.2679,27.1681,1
82.5049,27.9423,1
81.5952,28.4611,0
81.8648,28.1545,1
80.696,29.448,0
85.0784,27.2152,1
80.9019,28.8267,0
82.1047,27.9588,1
82.0347,28.5842,0
81.4838,28.3475,0
81.9494,28.1385,0
84.1356,27.739,0
86.4071,26.9827,0
82.8595,27.95,1
82.7636,27.7208,0
82.8729,28.0129,0
82.252,28.6625,0
80.6111,28.9498,0
80.4584,29.0788,0
82.2782,27.9804,1
81.1763,28.8446,0
80.4038,28.7952,0
80.9481,28.967,1
81.5335,28.6269,0
86.7935,26.7601,0
81.7415,28.2223,0
80.5248,29.0499,0
81.7351,28.2601,1
85.9495,27.0662,0
82.1354,28.3511,0
80.9709,28.7765,1
84.903,27.3012,0
81.3584,28.4627,0
82.6268,27.9346,0
84.7467,28.049,1
82.1585,27.8943,0
81.5523,28.3099,1
80.867,29.0348,0
85.0661,27.2235,0
